speaker_id,speaker_gender,utterance_count,character_count
0201,male,402,17693
0202,male,393,18724
0206,male,353,9769
0207,male,401,16121
0208,male,350,10260
0209,male,401,18265
0216,male,446,10748
0217,male,446,10740
0218,female,446,11272
0219,female,446,10436
0220,male,446,11612
0221,female,446,10927
0222,male,446,11657
0224,male,446,10730
0225,male,446,10372
0233,female,446,11014
0238,male,448,11887
0239,female,447,11235
0240,male,446,10660
0242,female,448,10697
0243,female,448,12135
0244,female,344,4443
0245,female,443,10024
0247,male,447,10650
0248,female,447,11250
0254,male,448,11456
0256,female,447,10732
0259,male,449,10528
0260,female,449,11674
0261,male,449,11000
0264,male,449,11361
0265,male,449,11880
0267,female,454,11835
0284,male,448,11117
0285,female,448,10671
0288,male,448,11154
0292,female,448,11025
0293,female,448,11104
0295,female,448,10689
0296,male,448,11088
0297,female,448,11295
0300,female,448,10620
0301,female,448,11428
0302,male,448,11331
0303,female,448,11484
0304,female,448,10919
0305,female,448,11079
0308,female,448,11445
0309,female,448,11343
0310,female,448,11198
0314,female,448,10435
0315,male,448,11398
0316,female,448,10451
0324,female,448,10830
0325,male,448,10458
0326,female,448,11379
0329,male,448,11221
0333,female,448,11242
0334,female,448,11280
0336,female,448,11242
0345,female,183,12139
0348,female,199,13855
0362,female,199,13226
0379,male,199,13724
0380,female,183,12139
0383,male,199,14229
0386,female,199,13280
0389,female,199,13331
0392,female,199,13293
0397,female,448,11156
